iter	Passed	Remaining
0	136	13533
1	137	6735
2	138	4468
3	138	3332
4	139	2650
5	140	2196
6	140	1871
7	141	1627
8	142	1438
9	142	1286
10	143	1163
11	144	1062
12	145	975
13	146	899
14	146	832
15	147	775
16	148	724
17	149	679
18	149	639
19	150	602
20	151	569
21	151	538
22	152	511
23	153	485
24	154	462
25	154	440
26	155	420
27	156	401
28	156	384
29	157	367
30	158	352
31	159	338
32	160	324
33	160	311
34	161	299
35	162	288
36	162	277
37	163	266
38	164	256
39	164	247
40	165	238
41	166	229
42	166	221
43	167	213
44	168	205
45	168	197
46	169	190
47	170	184
48	170	177
49	171	171
50	172	165
51	173	160
52	174	154
53	174	148
54	175	143
55	176	138
56	176	133
57	177	128
58	178	123
59	178	119
60	179	114
61	180	110
62	180	106
63	181	102
64	182	98
65	183	94
66	183	90
67	185	87
68	186	83
69	187	80
70	187	76
71	188	73
72	189	70
73	190	66
74	190	63
75	191	60
76	191	57
77	192	54
78	193	51
79	193	48
80	194	45
81	195	42
82	196	40
83	196	37
84	197	34
85	198	32
86	198	29
87	199	27
88	200	24
89	201	22
90	202	20
91	203	17
92	204	15
93	205	13
94	205	10
95	206	8
96	207	6
97	208	4
98	209	2
99	210	0
