,음식,재료
0,감자수프,"['감자', '양파', '대파', '버터', '육수', '계란노른자', '생크림']"
1,고구마스프,"['고구마', '우유']"
2,단호박크림수프,"['단호박', '양파', '버터', '밀가루', '물', '우유', '생크림']"
3,닭살크림수프,"['닭', '당근', '양파', '밀가루', '버터', '우유', '닭육수']"
4,덴마크식당근스프,"['버터', '양파', '당근', '크림치즈', '우유', '다진파슬리']"
5,러시안수프,"['쇠고기', '양파', '당근', '감자', '샐러리', '버터']"
6,모듬콩수프,"['콩', '깨', '잣', '호두', '식빵']"
7,버섯스프,"['버섯', '버터']"
8,버섯크림수프,"['버터', '양파', '감자', '양송이']"
9,베이비콘채소스프,"['베비이콘', '당근', '완두콩', '양파', '토마토']"
10,브로콜리수프,"['브로콜리', '양파', '대파', '밥', '생크림', '시금치', '닭육수', '버터']"
11,브로콜리크림수프,"['브로콜리', '버터', '밀가루', '우유', '생크림']"
12,스피드오므라이스,"['계란', '밥', '양파', '햄', '청피망', '당근']"
13,양송이크림수프,"['양송이버섯', '육수', '생크림', '버터', '밀가루', '우유', '물']"
14,양송이크림스프,"['버터', '양파', '감자', '양송이버섯', '생크림']"
15,어니언그라탱수프,"['양파', '바게트빵', '마늘', '올리브오일', '치킨육수', '물']"
16,오므라이스,"['계란', '양파', '당근', '밥', '청피망', '홍피망', '오이', '전분']"
17,옥수수수프,"['옥수수', '양파', '우유']"
18,완두콩감자수프,"['완두콩', '감자', '양파', '우유']"
19,완두콩수프,"['완두콩', '물', '감자', '버터', '밀가루', '생크림']"
20,인도식과일카레라이스,"['밥', '쇠고기', '양파', '당근', '감자', '사과', '오렌지', '옥수수', '버터', '카레', '물', '건포도']"
21,차가운토마토수프,"['토마토', '홍피망', '오이', '양파', '올리브오일', '물', '토마토주스', '크루통']"
22,채소수프,"['감자', '당근', '양파', '샐러리', '양송이버섯', '홀토마토', '물', '버터']"
23,채소스프,"['쇠고기스톡', '버터', '당근', '양파', '샐러리', '피망', '무']"
24,치즈라이스볼,"['밥', '닭고기', '감자', '양파', '피망', '치즈', '밀가루', '계란', '빵가루', '튀김기름']"
25,치킨케밥과 카레볶음밥,"['닭', '카레', '밥', '식용유', '양송이버섯', '피망', '파프리카', '방울토마토', '꼬치']"
26,칠리소스라이스,"['밥', '쇠고기', '양파', '마늘', '토마토', '칠리', '프랑크소시지', '대파', '버터', '밀가루', '물']"
27,콘크림수프,"['스위트콘', '버터', '양파', '물', '우유', '생크림']"
28,껍질콩버터조림,"['껍질콩', '물', '파슬리', '베이컨', '양상추', '비프스톡파우더', '버터', '밀가루', '옥수수통조림', '셀피유']"
29,돼지고기바베큐,"['돼지고기', '양파', '밀가루']"
30,참치볼케첩조림,"['참치', '양파', '마늘', '계란흰자', '밀가루', '튀김기름', '당근', '피망']"
31,가지토마토그라탕,"['토마토', '가지', '모짜렐라치즈']"
32,감자오븐구이,"['감자', '포도씨오일']"
33,감자치즈구이,"['감자', '치즈', '베이컨']"
34,건포도간장소스백립,"['백립', '[재움액]', '생강', '통마늘', '월계수잎', '대파', '레드와인', '립삶은육수', '다진건포도', '커피']"
35,닭가슴살구이와채소샐러드,"['닭가슴살', '양상추', '각종유기농채소', '마늘', '소금', '통후추']"
36,대합구이,"['대합', '양파', '청피망', '홍피망', '모짜렐라치즈']"
37,등심스테이크,"['쇠고기', '양파', '당근', '호박', '감자', '가지', '샐러리']"
38,라타투유를곁들인대구요리,"['대구', '홍피망', '가지', '양파', '양송이버섯', '토마토', '호박']"
39,레이즌 연어 스테이크,"['연어', '버터', '레드', '페퍼콘', '어린채소']"
40,레이즌 폭찹,"['돼지갈비', '밀가루', '브랜디']"
41,레이즌닭다리스테이크,"['닭다리', '양파', '베이컨', '마늘']"
42,로스트치킨,"['닭', '양파', '감자', '당근', '셀러리']"
43,몬테리치킨,"['닭고기', '베이컨', '아메리칸치즈', '감자', '토마토', '실파', '브로콜리', '당근', '애호박']"
44,바베큐립,"['돼지등갈비', '샐러리', '양파', '마늘']"
45,바베큐립,"['돼지갈비', '청양고추', '통후추', '월계수잎']"
46,버팔로윙,"['닭', '화이트와인', '소금', '후춧가루', '버터', '밀가루']"
47,버팔로윙,"['닭고기', '샐러리', '마요네즈', '레몬즙', '파마산치즈']"
48,베이컨햄말이,"['베이컨', '햄', '식용유']"
49,비프채소롤,"['쇠고기', '당근', '양파', '청피망', '오이피클', '베이컨', '식용유', '밀가루', '홍피망']"
50,새우구이,"['새우', '양송이버섯', '청피망', '양파', '밥', '버터', '당근', '샐러리', '홍피망', '소금']"
51,속채운감자,"['감자', '버터', '우유', '후루츠칵테일', '은박컵']"
52,아메리칸닭구이,"['닭', '빵가루', '토마토', '양송이버섯', '감자', '당근', '브로콜리', '토마토소스']"
53,아스파라거스베이컨말이,"['아스파라거스', '메추리알', '베이컨', '꼬치']"
54,양송이치즈구이,"['양송이버섯', '쇠고기', '양파', '마늘', '치즈', '올리브오일', '파슬리']"
55,에그미트로프,"['계란', '다진쇠고기', '다진돼지고기', '양파', '빵가루', '쇠고기']"
56,에스프레소  목살 스테이크,"['미국산', '냉장', '목살']"
