상품범주(대),상품범주(중),상품범주(소),상품범주(세),상품,상품명,매출금액(취급고기준),Kearney,,,상품범주(세),
CK제품,CK반찬,CK무침반찬류,CK무침류,701224,CK 오징어초무침(R 1Kg/EA),"1,697,075",오징어초무침,,,CK무침류,
CK제품,CK반찬,CK무침반찬류,CK무침류,701225,CK 오징어초무침(R 5Kg/EA),"2,328,210",오징어초무침,,,CK볶음류,
CK제품,CK반찬,CK무침반찬류,CK무침류,701264,CK 유채나물(_ 1Kg/EA),"511,740",유채나물,,,CK계육양념육,
CK제품,CK반찬,CK무침반찬류,CK무침류,701273,CK 시래기나물(1Kg/EA),"294,000",시래기나물,,,CK돈육양념육,
CK제품,CK반찬,CK무침반찬류,CK무침류,701274,CK 얼갈이나물(1Kg/EA),"338,440",얼갈이나물,,,CK수산가공품,
CK제품,CK반찬,CK무침반찬류,CK무침류,701275,CK 열무나물(1Kg/EA),"139,580",열무나물,,,CK조림류,
CK제품,CK반찬,CK무침반찬류,CK무침류,701280,CK 고사리나물볶음(1Kg/EA),"36,720",고사리나물볶음,,,CK소스,
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701148,CK 간편세멸치볶음(125g/EA),"3,840",세멸치볶음,,,가공선물세트,
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701216,CK 세멸치볶음(R 1Kg/EA),"16,850",세멸치볶음,,,김치(국산)기타,1
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701217,CK 멸치고추장볶음(R 1Kg/EA),"38,840",멸치고추장볶음,,,김치(수입)기타,1
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701218,CK 건새우볶음(R 800g/EA),"131,960",건새우볶음,,,깍두기김치,1
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701219,CK 명엽채볶음(R 600g/EA),"85,940",명엽채볶음,,,나박김치,1
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701246,CK 마늘쫑볶음(R 1Kg/EA),"133,370",마늘쫑볶음,,,맛김치(국산),1
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701247,CK 표고버섯볶음(R 1Kg/EA),"4,293,286",표고버섯볶음,,,맛김치(수입),1
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701248,CK 새송이들깨볶음(R 1Kg/EA),"2,872,043",새송이들깨볶음,,,백김치,1
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701249,CK 총알새송이볶음(R 1Kg/EA),"1,436,355",새송이볶음,,,석박지,1
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701251,CK 총알새송이볶음(R 5Kg/EA),"1,316,383",새송이볶음,,,열무김치,1
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701252,CK 미역줄기볶음(R 1Kg/EA),"3,819,947",미역줄기볶음,,,절임배추,1
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701253,CK 미역줄기볶음(R 5Kg/EA),"3,299,499",미역줄기볶음,,,총각김치,1
CK제품,CK반찬,CK양념육,CK계육양념육,701178,CK NEW닭갈비(R 1Kg/EA),"111,684,033",닭갈비,,,포기김치(국산),1
CK제품,CK반찬,CK양념육,CK계육양념육,701179,CK NEW닭갈비(R 5Kg/EA),"289,521,420",닭갈비,,,포기김치(수입),1
CK제품,CK반찬,CK양념육,CK계육양념육,701180,CK NEW닭갈비(_국내산닭_R 1Kg/EA),"100,369,409",닭갈비,,,단무지,1
CK제품,CK반찬,CK양념육,CK계육양념육,701181,CK NEW닭갈비(국내산닭_R 5Kg/EA),"403,245,086",닭갈비,,,락교,1
CK제품,CK반찬,CK양념육,CK계육양념육,701182,CK NEW간장닭볶음(브라질닭_R 1Kg/EA),"2,109,071",간장닭볶음,,,수입절임기타,
CK제품,CK반찬,CK양념육,CK계육양념육,701183,CK NEW간장닭볶음(브라질닭_R 5Kg/EA),"6,241,297",간장닭볶음,,,쌈무,1
CK제품,CK반찬,CK양념육,CK계육양념육,701184,CK NEW간장닭볶음(국내산닭_R 1Kg/EA),"50,127,874",간장닭볶음,,,완제형반찬,
CK제품,CK반찬,CK양념육,CK계육양념육,701185,CK NEW간장닭볶음(국내산닭_R 5Kg/EA),"203,405,565",간장닭볶음,,,절임반찬,
