상품범주(대),상품범주(중),상품범주(소),상품범주(세),상품,상품명,매출금액(취급고기준),카테고리,Dictionary
CK제품,CK반찬,CK무침반찬류,CK무침류,701224,CK 오징어초무침(R 1Kg/EA),1697075,0,
CK제품,CK반찬,CK무침반찬류,CK무침류,701225,CK 오징어초무침(R 5Kg/EA),2328210,0,
CK제품,CK반찬,CK무침반찬류,CK무침류,701264,CK 유채나물(_ 1Kg/EA),511740,0,
CK제품,CK반찬,CK무침반찬류,CK무침류,701273,CK 시래기나물(1Kg/EA),294000,0,
CK제품,CK반찬,CK무침반찬류,CK무침류,701274,CK 얼갈이나물(1Kg/EA),338440,0,
CK제품,CK반찬,CK무침반찬류,CK무침류,701275,CK 열무나물(1Kg/EA),139580,0,
CK제품,CK반찬,CK무침반찬류,CK무침류,701280,CK 고사리나물볶음(1Kg/EA),36720,0,
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701148,CK 간편세멸치볶음(125g/EA),3840,0,
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701216,CK 세멸치볶음(R 1Kg/EA),16850,0,
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701217,CK 멸치고추장볶음(R 1Kg/EA),38840,0,
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701218,CK 건새우볶음(R 800g/EA),131960,0,
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701219,CK 명엽채볶음(R 600g/EA),85940,0,
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701246,CK 마늘쫑볶음(R 1Kg/EA),133370,0,
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701247,CK 표고버섯볶음(R 1Kg/EA),4293286,0,
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701248,CK 새송이들깨볶음(R 1Kg/EA),2872043,0,
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701249,CK 총알새송이볶음(R 1Kg/EA),1436355,0,
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701251,CK 총알새송이볶음(R 5Kg/EA),1316383,0,
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701252,CK 미역줄기볶음(R 1Kg/EA),3819947,0,
CK제품,CK반찬,CK볶음반찬류,CK볶음류,701253,CK 미역줄기볶음(R 5Kg/EA),3299499,0,
CK제품,CK반찬,CK양념육,CK계육양념육,701178,CK NEW닭갈비(R 1Kg/EA),111684033,0,
CK제품,CK반찬,CK양념육,CK계육양념육,701179,CK NEW닭갈비(R 5Kg/EA),289521420,0,
