Category1,Category2,Category3,Category4,Code,Name,SKU1,매출1,원가1,SKU2,매출2,원가2,SKU3,매출3,원가3
CK제품,CK반찬,CK양념육,CK계육양념육,701180,CK NEW닭갈비(_국내산닭_R 1Kg/EA),27 EA,"251,100","177,948",2 EA,"18,600","13,016",,,
CK제품,CK반찬,CK양념육,CK계육양념육,701181,CK NEW닭갈비(국내산닭_R 5Kg/EA),,,,2 EA,"88,160","61,704",,,
CK제품,CK반찬,CK양념육,CK돈육양념육,701294,CK 매운찜갈비(문래돼지불백용 800g/EA),1 EA,"22,500","18,951",2 EA,"45,000","37,902",,,
CK제품,CK반찬,CK양념육,CK수산가공품,701190,CK 오삼불고기(R 1Kg/EA),1 EA,"11,840","8,874",,,,4 EA,"51,200","33,128"
가공식품,가공부가상품,가공선물세트,가공선물세트,380357,해표특선88호(에프앤비용 명절용 1.91Kg/EA),,,,,,,475 EA,"4,750",475
가공식품,가공부가상품,가공선물세트,가공선물세트,380389,해표특선57호(에프앤비용 명절용 2.81Kg/EA),,,,,,,50 EA,500,50
가공식품,김치/절임류,김치,김치(국산)기타,221277,김장독 총각김치(생_일반 1Kg/EA),,,,2 EA,"14,540","8,127",,,
가공식품,김치/절임류,김치,김치(국산)기타,221281,김장독 파김치(1Kg/EA),,,,1 EA,"19,650","10,983",1 EA,"18,670","10,434"
가공식품,김치/절임류,김치,김치(국산)기타,221294,김장독 갓김치(1Kg/EA),,,,,,,1 EA,"8,060","4,503"
가공식품,김치/절임류,김치,김치(국산)기타,221295,김장독 배추겉절이(일반 1Kg/EA),2 EA,"12,140","9,505",,,,,,
가공식품,김치/절임류,김치,김치(국산)기타,221364,진경 보쌈김치(5Kg/BOX),1 BOX,"31,280","22,886",,,,,,
가공식품,김치/절임류,김치,김치(국산)기타,222333,진경 동치미(10Kg/BOX),,,,1 BOX,"20,690","17,133",,,
가공식품,김치/절임류,김치,김치(국산)기타,235128,예소담 묵은지(10Kg/BOX),10 BOX,"520,770","388,995",7 BOX,"347,220","276,395",3 BOX,"167,910","122,021"
가공식품,김치/절임류,김치,김치(국산)기타,235198,종가집 볶음김치(3Kg/EA),944 EA,"17,155,700","12,442,161","1,139 EA","20,631,421","14,810,164","1,156 EA","20,906,370","14,909,761"
가공식품,김치/절임류,김치,김치(국산)기타,235530,종가집 동치미(5Kg/BOX),,,,1 BOX,"18,860","12,422",,,
가공식품,김치/절임류,김치,김치(국산)기타,236045,종가집 보쌈김치(5Kg/BOX),1 BOX,"38,930","24,525",,,,,,
가공식품,김치/절임류,김치,김치(국산)기타,236046,종가집 배추겉절이(5Kg/BOX),,,,1 BOX,"28,940","20,025",,,
가공식품,김치/절임류,김치,김치(국산)기타,236048,종가집 묵은지(10Kg/BOX),6 BOX,"281,210","214,829",3 BOX,"133,130","108,854",2 BOX,"102,080","70,650"
가공식품,김치/절임류,김치,김치(국산)기타,263047,비비고 김치볶음(80g/EA),23 EA,"28,140","17,899",80 EA,"93,900","61,456",105 EA,"121,000","81,234"
가공식품,김치/절임류,김치,김치(국산)기타,322990,선농 파김치(1Kg/EA),,,,3 EA,"35,790","25,856",,,
가공식품,김치/절임류,김치,김치(국산)기타,322992,선농 파김치(일반 1Kg/EA),1 EA,"10,310","8,062",2 EA,"21,810","16,390",2 EA,"20,780","16,245"
가공식품,김치/절임류,김치,김치(국산)기타,322993,선농 갓김치(1Kg/EA),4 EA,"31,650","16,557",2 EA,"16,320","8,279",3 EA,"24,480","13,356"
가공식품,김치/절임류,김치,김치(국산)기타,322994,선농 갓김치(일반 1Kg/EA),3 EA,"20,760","11,611",9 EA,"66,330","34,835",16 EA,"118,820","64,309"
